"Product ID";"Hình ảnh";"Tên";"Có hiệu lực";"Danh mục";"Nhà cung cấp";"Giá (chưa thuế.)";"Giá (bao gồm thuế)";"Số lượng";"Trạng thái";"Mô tả";"Mô tả chi tiết";"Số lượng";"Số lượng tối thiểu";"Vị trí";""
"11";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/7/0/705565-enis-grey-slate-_10mm_-60x60-v3.jpg,https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/7/0/705564-enis-black-_10mm_-60x60-v1_1.jpg";"Enis™ Grey Slate Tile";"1";"Mosaic";"Enis";"200000";"220000";"600";"0";"Whether you’re a fan of light, muted neutrals, or dark, dramatic texture, slate effect tiles are ideal for bridging the style gap between minimalism and industrialism. The subtle colour variation helps soften more architectural edges and when used in a larger format, helps create a smooth transition between rooms and even interior styles.";"Product Colour:          Grey
Tile Surface:                Floor, Wall
Tile Size:                      59.5cm x 59.5cm Square
Tile Depth (cm):          0.9
Weight (kg):                 7.7";"300";"1";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/7/0/705565-enis-grey-slate-_10mm_-60x60-v3.jpg";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/7/0/705564-enis-black-_10mm_-60x60-v1_1.jpg"
"12";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/7/1/714339.jpg,https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/631703_regal-cubis-mosaic-polished-tile_bathroom_wall_2.jpg";"Cubis Vanilla Grey Polished Mosaic Tile";"1";"Mosaic";"Regal®";"150000";"165000";"300";"0";"Exclusive to Topps Tiles, these Regal® Cubis mosaic tiles can be teamed with coordinating grout, trims and thresholds to create a striking geometric effect. This polished porcelain design comes in a neutral cream shade and can be laid on the walls and floors for a seamless interior feel.";"Product Colour:          Cream
Tile Surface:                Floor, Wall
Tile Size:                      34cm x 29.4cm Rectangular
Tile Depth (cm):          0.94
Weight (kg):                 1.9";"400";"1";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/7/1/714339.jpg";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/631703_regal-cubis-mosaic-polished-tile_bathroom_wall_2.jpg"
"13";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/7/1/714338.jpg,https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/6/3/631704_1.jpg";"Cubis Vanilla Grey Matt Mosaic Tile";"1";"Mosaic";"Regal®";"160000";"176000";"300";"0";"The Regal® smoke polished tile features a modern glossy finish, transforming the look of your interior walls and floors. Exclusive to Topps Tiles, it sports a clean square design and deep grey colour. Pair this porcelain tile with coordinating trims, thresholds and grouts from the Regal® range, available in a subtle palette of neutral hues and various finishes.";"Product Colour:          Cream
Tile Surface:                Floor, Wall
Tile Size:                      34cm x 29.4cm Rectangular
Tile Depth (cm):          1.07
Weight (kg):                 1.9";"400";"1";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/7/1/714338.jpg";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/6/3/631704_1.jpg"
"14";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/6/4/641353.jpg,https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/s/m/smoke-kitchen_1.jpg";"Etched Smoke Tile";"1";"Mosaic";"Regal®";"140000";"154000";"300";"0";"Exclusive to Topps Tiles, the Regal® etched smoke tile in neutral grey tones features a sophisticated geometric design, which is created using a technique similar to stone engraving. The top layer of each porcelain tile is removed in a unique pattern, leaving a surface that combines a polished gloss finish with tactile design elements. The bold geometric design of these tiles can be paired with contrasting tiles in the Regal® range to create an eye-catching look that fuses vintage and modern styles. Coordinating trims, thresholds and grouts will help you create a variety of design themes. This range is pre-sealed and should be treated similarly to our existing polished porcelain tiles.";"Product Colour:          Grey
Tile Surface:                Wall
Tile Size:                      60cm x 29.7cm Rectangular
Tile Depth (cm):          0.95
Weight (kg):                 3.3";"400";"1";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/6/4/641353.jpg";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/s/m/smoke-kitchen_1.jpg"
"15";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/7/0/708638_1.jpg,https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/8/1/811628-cgi.jpg";"Grey Polished Tile";"1";"Glass";"Regal®";"150000";"165000";"900";"0";"Our exclusive Regal® grey polished tiles can be used on floors, walls and stove surrounds, making them the perfect way to create a seamless finish. Made from porcelain, a strong, durable and versatile material, these glossy square tiles have an air of classic elegance. They are sealed during manufacture, allowing you to install them without the need for additional sealing before or immediately after fixing.";"Product Colour:                        Grey
Tile Surface:                              Floor, Wall
Tile Size:                                    60cm x 60cm Square
Tile Depth (cm):                        0.95
Weight (kg):                               7";"400";"1";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/7/0/708638_1.jpg";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/8/1/811628-cgi.jpg"
"16";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/634367_speculo-rose-tile_3.jpg,https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/634367_speculo-rose-tile_bathroom_wall_2.jpg";"Speculo™ Rose Tile";"1";"Glass";"Speculo";"160000";"176000";"300";"0";"Add a soft pink hue to your walls with the Speculo™ rose tile, exclusive to Topps Tiles. This glossy design features a delicate lustre that shimmers in natural light, creating depth and a modern feel. Made from polished glass, the Speculo™ tile showcases a contemporary twist on the brick shape and is aptly named after the Latin word for glass.";"Product Colour:                        Pink
Tile Surface:                              Wall
Tile Size:                                    20cm x 10cm Rectangular
Tile Depth (cm):                        0.8
Weight (kg):                               0.394";"200";"1";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/634367_speculo-rose-tile_3.jpg";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/634367_speculo-rose-tile_bathroom_wall_2.jpg"
"17";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/634366_speculo-mist-tile_3.jpg,https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/634366_speculo-mist-tile_kitchen_wall_1.jpg";"Speculo™ Mist Tile";"1";"Glass";"Speculo";"170000";"187000";"1200";"0";"Designed in a subtle grey, the Speculo™ mist tile is inspired by the Latin name for 'glass'. With a glossy finish and a hint of lustre, this neutral glass tile glistens in the natural light, adding depth to all manner of spaces. A contemporary update to the classic brick shape, this design can be precisely cut using a speed magnet cutter and a 6mm scoring wheel.";"Product Colour:                        Grey
Tile Surface:                              Wall
Tile Size:                                    20cm x 10cm Rectangular
Tile Depth (cm):                        0.8
Weight (kg):                               0.394";"200";"1";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/634366_speculo-mist-tile_3.jpg";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/634366_speculo-mist-tile_kitchen_wall_1.jpg"
"18";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/630584_lynx_white_mix_mosaic_tile_2.jpg,https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/l/y/lynx_white.jpgg";"Lynx White Mix Mosaic Tile";"1";"Glass";"Speculo";"200000";"220000";"1200";"0";"Create an exquisite feature wall or streamlined splashback with these Lynx white mix mosaic tiles. The stunning light shades of the rectangular design are neutral in tone, so you can be confident that they'll sit well alongside most decorative schemes, adding a hint of refinement with their glossy finish.";"Product Colour:                        White
Tile Surface:                              Wall
Tile Size:                                    30.6cm x 28.2cm Rectangular
Tile Depth (cm):                        0.6
Weight (kg):                               1.1";"200";"1";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/630584_lynx_white_mix_mosaic_tile_2.jpg";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/l/y/lynx_white.jpgg"
"19";"https://thumbor-gc.tomandco.uk/unsafe/769x923/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/811370_kew-midnight-mix-mosaic-brick-tile_2.jpg,https://thumbor-gc.tomandco.uk/unsafe/769x923/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/811370_kew-midnight-mix-mosaic-brick-tile_bathroom_wall_1.jpg";"Kew Midnight Mix Mosaic Brick Tile";"1";"Ceramic";"Speculo";"220000";"242000";"1200";"0";"With a combination of luxurious, pearlescent colours and sprinkles of darker tones, the Kew Midnight Mix mosaic brick tile creates a stunning feature wall. The brick effect in combination with the gloss finish is superb. You can also combine this multicoloured glass mosaic tile with ceramic or porcelain to create an eye-catching effect. ";"Product Colour:                        Grey, Multicoloured
Tile Surface:                              Wall
Tile Size:                                    32.2cm x 29.4cm Rectangular
Tile Depth (cm):                        0.6
Weight (kg):                               1";"200";"1";"https://thumbor-gc.tomandco.uk/unsafe/769x923/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/811370_kew-midnight-mix-mosaic-brick-tile_2.jpg";"https://thumbor-gc.tomandco.uk/unsafe/769x923/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/811370_kew-midnight-mix-mosaic-brick-tile_bathroom_wall_1.jpg"
"20";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/633027_attingham-mist-geometrics-d%C3%A9cor-tile_3.jpg,https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/633027_attingham-mist-geometrics-d%C3%A9cor-tile_4.jpg ; 
https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/6/3/633027-cgi.jpg";"Powder Blue Tile";"1";"Ceramic";"Attingham";"240000";"264000";"100";"0";"With their layered hues and tactile finish, these Attingham™ Mist Geometrics décor tiles lend a vintage feel to your living space. The subtle variation in shading is achieved by applying different amounts of glaze to each tile, and the relief effect is a result of using a reactive print. Each set of tiles contains five different geometric designs, allowing you to create a distinctive statement. Pair these grey tiles with designs from the main range to create a unique display.";"Coverage Per Box:                      0.3m²
Tiles Per Box:                              5
Product Colour:                          Grey
Tile Surface:                                Wall
Tile Size:                                      40cm x 15cm Rectangular
Tile Depth (cm):                         1
Weight (kg):                                5.1";"400";"1";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/633027_attingham-mist-geometrics-d%C3%A9cor-tile_3.jpg";"https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/c/a/633027_attingham-mist-geometrics-d%C3%A9cor-tile_4.jpg ; 
https://thumbor-gc.tomandco.uk/unsafe/513x616/filters:upscale():fill(white)/https://www.toppstiles.co.uk/static/media/catalog/product/6/3/633027-cgi.jpg"
